name,terminal,airside,gate,lat,lon,phone,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id,cuisine,logo_url
Drew Pearson's Sports 88,Terminal E,Airside,Gate E5,32.892743,-97.037879,,Bar; Sandwich; Grab & Go; Breakfast; Wings; Salad,"A sports bar and restaurant themed around NFL Hall of Famer Drew Pearson, serving American bar food and beers.",,,,,,OPEN — on official DFW Airport website,,,"Bar, American",
Einstein Bros. Bagels,Terminal E,Airside,Gate E13,32.891126,-97.035901,,Bagels; Coffee; Pastries; Breakfast,"Einstein Bros. Bagels is an American bakery café chain offering a wide variety of freshly baked bagels, schmears, egg sandwiches, and specialty coffees.",,,,,,OPEN — on official DFW Airport website,,,"Sandwiches & Deli, Café",https://img.logo.dev/einsteinbros.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Freshii,Terminal E,Airside,Gate E17,32.889601,-97.035723,,Healthy; Salads; Wraps; Bowls; Vegan,"Freshii is a Canadian healthy fast food franchise offering burritos, bowls, salads, juices, and smoothies made with fresh, nutritious ingredients.",,,,,,OPEN — on official DFW Airport website,,,"Healthy, Fast Food",https://img.logo.dev/freshii.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Love Shack,Terminal E,Airside,Gate E12,32.89183,-97.036018,,American; Burger; Hot Dog; Chicken; Fries; Milkshake,"A retro-themed burger joint from celebrity chef Tim Love, serving smash-style burgers with inventive toppings and Texas beers.",,,,,,OPEN — on official DFW Airport website,,,Burgers,
Panda Express,Terminal E,Airside,Gate E33,32.888229,-97.036985,,Asian; Chinese; Fried Rice; Orange Chicken; Bar,"Panda Express is America's largest Chinese fast food chain, known for its Orange Chicken, Kung Pao Beef, and customisable plate combos with fried rice and noodles.",,,,,,OPEN — on official DFW Airport website,,,"American, Chinese, Asian",https://img.logo.dev/pandaexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Sonny Bryan's Smokehouse,Terminal E,Airside,Gate E13,32.891179,-97.035737,,BBQ; Barbecue; Sandwiches,"A Dallas BBQ legend since 1958, serving classic Texas smoked brisket, ribs, and links with traditional sides.",,,,,,OPEN — on official DFW Airport website,,,"American, Steak, Grill Chicken & BBQ",https://img.logo.dev/sonnybryans.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
TGI Fridays,Terminal E,Airside,Gate E17,32.889601,-97.035723,+1 (972) 574-2728,American; Restaurant; Bar; Breakfast; Burger; Casual Dine-In,"TGI Fridays is an American casual dining restaurant chain inspired by New York bar culture, serving burgers, ribs, cocktails, and American comfort food since 1965.",,,,,,OPEN — on official DFW Airport website,,,American,https://img.logo.dev/tgifridays.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Uno Due Go,Terminal E,Airside,Gate E36,32.88789,-97.038165,,Bar; Pizza; Grab & Go; Breakfast; Italian; Paninis,"A quick Italian concept serving pizza by the slice, pasta salads, and Italian-inspired fast food.",,,,,,OPEN — on official DFW Airport website,,,Italian,
Wendy's,Terminal E,Airside,Gate E33,32.888109,-97.037,,Burger; Fast Food; Fries; Chicken; American,"Wendy's is an American international fast food chain known for its square, fresh, never-frozen beef burgers, the iconic Frosty dessert, and made-to-order menu served since 1969.",,,,,,OPEN — on official DFW Airport website,,,"Fast Food, Burgers",https://img.logo.dev/wendys.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Whataburger,Terminal E,Airside,Gate E27,32.887837,-97.034113,,Burger; Fast Food; Fries; Milkshake; American,"Whataburger is an American regional fast food chain from Texas known for its large, made-to-order burgers, Whataburger sauce, and 24/7 service.",,,,,,OPEN — on official DFW Airport website,,,Fast Food,https://img.logo.dev/whataburger.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
